key,raw_name,translation
jk,jk,
casual,casual,
lingerie,lingerie,
2b,2b,
yor forger,yor forger,
suite collection,suite collection,
suite grand order,suite grand order,
maid,maid,
ol,ol,
tifa lockhart,tifa lockhart,
neko,neko,
marin kitagawa,marin kitagawa,
makima,makima,
rem,rem,
ganyu,ganyu,
succubus,succubus,
asuka langley soryu,asuka langley soryu,
zero two,zero two,
shimakaze,shimakaze,
takao,takao,
raiden shogun,raiden shogun,
dva,dva,
nurse,nurse,
ahri,ahri,
bunny,bunny,
atago,atago,
mai shiranui,mai shiranui,
marie rose,marie rose,
yae miko,yae miko,
swimsuit,swimsuit,
power,power,
shielder,shielder,
shuten douji,shuten douji,
kancolle,kancolle,
suite lane,suite lane,
nun,nun,
mitsuri kanroji,mitsuri kanroji,
dress,dress,
elf,elf,
raven,raven,
fern,fern,
scathach,scathach,
frieren,frieren,
kashima,kashima,
chocola,chocola,
cammy white,cammy white,
viper,viper,
chun-li,chun-li,
harley quinn,harley quinn,
vampire,vampire,
reimu hakurei,reimu hakurei,
houshou marine,houshou marine,
misa amane,misa amane,
nilou,nilou,
hinata hyuga,hinata hyuga,
ada wong,ada wong,
gwen stacy,gwen stacy,
rapi,rapi,
christmas,christmas,
sonico,sonico,
rizu-kyun,rizu-kyun,
miku hatsune bunny,miku hatsune bunny,
kimono,kimono,
alice,alice,
saber alter,saber alter,
kafka,kafka,
bb,bb,
albedo,albedo,
chinese dress,chinese dress,
shizuku kuroe,shizuku kuroe,
miku hatsune,miku hatsune,
gothloli,gothloli,
dancer,dancer,
guitar sister,guitar sister,
shenhe,shenhe,
jeanne alter,jeanne alter,
patchouli knowledge,patchouli knowledge,
morrigan aensland,morrigan aensland,
mona megistus,mona megistus,
megumin,megumin,
kasumi,kasumi,
rei ayanami,rei ayanami,
miko,miko,
ankha,ankha,
ai hoshino,ai hoshino,
hatsune miku,hatsune miku,
tatsumaki,tatsumaki,
2b bride,2b bride,
gawr gura,gawr gura,
pe,pe,
yuzuriha,yuzuriha,
keqing,keqing,
neko maid,neko maid,
asuna yuuki,asuna yuuki,
super sonico,super sonico,
eula lawrence,eula lawrence,
nahida,nahida,
eula,eula,
alice liddell,alice liddell,
little red riding hood,little red riding hood,
neko lingerie,neko lingerie,
rebecca,rebecca,
rin tohsaka,rin tohsaka,
jinx,jinx,
bikini,bikini,
a2,a2,
reze,reze,
yelan,yelan,
kunoichi,kunoichi,
juri han,juri han,
elizabeth liones,elizabeth liones,
tifa,tifa,
nico robin,nico robin,
formidable,formidable,
qipao,qipao,
kaga,kaga,
implacable,implacable,
jane doe,jane doe,
latex,latex,
tamamo no mae,tamamo no mae,
lucyna kushinada,lucyna kushinada,
cow,cow,
shigure,shigure,
mona,mona,
akali,akali,
kemono,kemono,
reisen,reisen,
raphtalia,raphtalia,
nami,nami,
mikasa ackerman,mikasa ackerman,
misty,misty,
shielder kemono,shielder kemono,
ishtar,ishtar,
futaba sakura,futaba sakura,
emilia,emilia,
misato katsuragi,misato katsuragi,
asuna ichinose,asuna ichinose,
akagi,akagi,
meiko shiraki,meiko shiraki,
black cat,black cat,
owari,owari,
boa hancock,boa hancock,
mei,mei,
suzuya,suzuya,
ubel,ubel,
wednesday addams,wednesday addams,
princess zelda,princess zelda,
marin kitagawa bikini,marin kitagawa bikini,
reiko holinger,reiko holinger,
hitori gotou,hitori gotou,
madoka kaname,madoka kaname,
witch,witch,
zelda,zelda,
bath,bath,
vanilla,vanilla,
lucy,lucy,
tsunade,tsunade,
2b christmas,2b christmas,
hu tao,hu tao,
ram,ram,
fuyuko mayuzumi,fuyuko mayuzumi,
illya,illya,
