key,raw_name,translation
atsuki,atsuki,
higurashi rin,higurashi rin,
nonsummerjack,nonsummerjack,
saku,saku,
ringo mitsuki,ringo mitsuki,
tyouduki maryou,tyouduki maryou,
tenshi myu,tenshi myu,
umeko j,umeko j,
glossy rabbit,glossy rabbit,
hoshilily,hoshilily,星之迟迟
hane ame,hane ame,雨波
chunmomo,chunmomo,蠢沫沫
kittyxkum,kittyxkum,
lenfried,lenfried,
yaokoututu,yaokoututu,黏黏团子兔
indigo white,indigo white,
byoru,byoru,
kurupika,kurupika,
negoto hitsuji,negoto hitsuji,
velvet,velvet,
mikomi hokina,mikomi hokina,
comonun,comonun,
ai lei jiang,ai lei jiang,
okada yui,okada yui,
rocksy light,rocksy light,
lady melamori,lady melamori,
sachi budou,sachi budou,
usatame,usatame,
hidori rose,hidori rose,
shiro kitsune,shiro kitsune,
uyuy,uyuy,
alina becker,alina becker,
aery tiefling,aery tiefling,
mogu mogu cheeze,mogu mogu cheeze,
puypuychan,puypuychan,
caticornplay,caticornplay,
shirogane sama,shirogane sama,
kuukow,kuukow,
shaeunderscore,shaeunderscore,
kokuhui,kokuhui,145-yuuhui玉汇
poppachan,poppachan,
helly valentine,helly valentine,
hiyo nishizuku,hiyo nishizuku,
yuzupyon,yuzupyon,
lada lyumos,lada lyumos,
kalinka fox,kalinka fox,
nekokoyoshi,nekokoyoshi,爆机少女喵小吉
potato godzilla,potato godzilla,
kitty honey,kitty honey,
junkenstein,junkenstein,
wildhoney,wildhoney,
siao ding,siao ding,
sayo momo,sayo momo,
peachymilky,peachymilky,
satin stars,satin stars,
lovelyspacekitten,lovelyspacekitten,
cherry neko,cherry neko,
zinieq,zinieq,
rioko凉凉子,rioko凉凉子,
aninnyan,aninnyan,
erzuo nisa,erzuo nisa,♥ 二佐Nisa
okita rinka,okita rinka,
alina latypova,alina latypova,
himeecosplay,himeecosplay,
jessica nigri,jessica nigri,洁西卡·尼格瑞
queenie,queenie,
ely cosplay,ely cosplay,
luxlo,luxlo,
qiuhe keji,qiuhe keji,
pattie,pattie,
momokun,momokun,
arty huang,arty huang,Arty亚缇
mizhimaoqiu,mizhimaoqiu,
nyako,nyako,喵子nyako
carrykey,carrykey,
bambi,bambi,
mikomin,mikomin,
tanaka mana,tanaka mana,
megumi koneko,megumi koneko,
hua qi hana,hua qi hana,
chuchu nagomitei,chuchu nagomitei,
hana bunny,hana bunny,
aokotan,aokotan,
vinnegal,vinnegal,
mikehouse,mikehouse,
wen zai,wen zai,
sally dorasnow,sally dorasnow,
bunni lynn,bunni lynn,
yoshinobi,yoshinobi,
nikumikyo,nikumikyo,
natsume tsunarin,natsume tsunarin,
nagisa,nagisa,
yuki astra,yuki astra,
kitaro,kitaro,
evenink,evenink,
xansoon,xansoon,
rizuna,rizuna,
kaya huang,kaya huang,
g44 wa kizutsukanai,g44 wa kizutsukanai,
